Temperature,Humidity,HeatIndex,Time
26,79,33,1
38,78,26,2
25,73,30,3
34,27,27,4
28,23,27,5
36,60,28,6
19,24,28,7
20,61,33,8
22,72,25,9
28,28,28,10
21,56,28,11
20,42,31,12
20,21,33,13
34,55,25,14
22,58,27,15
32,36,31,16
28,77,35,17
31,17,26,18
28,61,25,19
26,67,32,20
22,32,27,21
37,20,25,22
28,78,25,23
18,64,31,24
26,57,32,25
25,39,25,26
26,36,25,27
35,47,35,28
21,18,27,29
35,51,25,30
32,24,26,31
28,20,29,32
31,31,25,33
21,15,29,34
35,68,27,35
33,57,34,36
26,25,33,37
28,34,25,38
36,66,35,39
36,80,29,40
33,10,26,41
30,38,28,42
20,30,29,43
19,75,28,44
27,46,35,45
29,12,30,46
30,51,27,47
19,31,32,48
21,48,33,49
20,33,26,50
26,19,34,51
23,38,33,52
18,50,31,53
36,71,31,54
34,36,32,55
30,16,35,56
18,24,27,57
34,28,29,58
21,62,30,59
19,16,29,60
36,70,35,61
30,21,32,62
25,59,29,63
25,71,25,64
22,67,25,65
29,38,27,66
38,29,31,67
23,12,26,68
33,38,35,69
30,52,34,70
23,79,25,71
32,15,28,72
20,67,26,73
24,17,29,74
33,76,30,75
35,30,29,76
19,28,35,77
32,15,26,78
26,48,32,79
18,73,31,80
20,17,28,81
37,33,29,82
23,79,35,83
29,39,33,84
33,59,34,85
24,10,34,86
33,49,35,87
25,33,34,88
27,45,32,89
36,33,33,90
33,55,25,91
25,13,34,92
36,59,28,93
38,79,29,94
18,15,35,95
37,73,31,96
35,29,29,97
30,76,31,98
34,35,31,99
19,53,30,100
25,80,32,101
31,35,35,102
28,18,25,103
38,69,31,104
31,36,34,105
38,37,34,106
34,73,33,107
21,79,29,108
36,47,33,109
29,65,34,110
37,60,25,111
24,17,26,112
18,79,29,113
23,16,32,114
28,11,26,115
38,69,28,116
34,60,35,117
38,31,32,118
19,75,35,119
18,55,34,120
34,71,32,121
30,37,31,122
26,36,26,123
23,52,31,124
30,43,26,125
21,20,30,126
26,31,33,127
32,49,30,128
38,13,25,129
33,69,31,130
21,35,29,131
28,41,35,132
31,36,29,133
26,15,30,134
30,74,29,135
38,16,33,136
36,43,30,137
27,71,30,138
27,59,35,139
25,21,27,140
34,27,26,141
32,76,31,142
26,39,26,143
29,53,26,144
30,36,27,145
36,68,35,146
20,44,34,147
33,47,29,148
28,15,27,149
25,78,29,150
32,76,35,151
26,70,35,152
18,28,32,153
37,30,32,154
24,74,29,155
23,33,33,156
24,39,32,157
24,79,33,158
19,38,35,159
34,34,28,160
24,45,34,161
18,55,34,162
23,21,34,163
23,62,26,164
26,11,32,165
24,76,33,166
21,34,30,167
21,64,35,168
35,45,25,169
